author,reviewedPaper 
L. Lai,Towards an Observer-oriented Theory of Shape Comparison.
L. Lai,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
C. Li,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
C. Li,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
H. Li,Retrieval of Human Subjects from Depth Sensor Data.
H. Li,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
H. Li,Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.
H. Li,Morphological Analysis of 3D Faces for Weight Gain Assessment.
H. Li,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Frederico A. Limberger,Temporal Ensemble of Shape Functions.
Frederico A. Limberger,Protein Shape Retrieval.
Ralph R. Martin,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Rafael Umino Nakanishi,E-PUR - an energy-efficient processing unit for recurrent neural networks.
Rafael Umino Nakanishi,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Rafael Umino Nakanishi,Towards an Observer-oriented Theory of Shape Comparison.
Rafael Umino Nakanishi,Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.
Rafael Umino Nakanishi,Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.
Afonso Neto,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
Afonso Neto,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Afonso Neto,Retrieval and Classification on Textured 3D Models.
Luis Gustavo Nonato,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Luis Gustavo Nonato,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Ryutarou Ohbuchi,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Ryutarou Ohbuchi,2D Image-Based 3D Scene Retrieval.
Ryutarou Ohbuchi,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
Kirill Pevzner,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Kirill Pevzner,Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.
Kirill Pevzner,3D Object Retrieval with Parametric Templates.
Kirill Pevzner,Stencil codes on a vector length agnostic architecture.
Kirill Pevzner,Large Scale Comprehensive 3D Shape Retrieval.
David Pickup,Data motifs - a lens towards fully understanding big data and AI workloads.
David Pickup,Maximizing system utilization via parallelism management for co-located parallel applications.
David Pickup,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
David Pickup,Partial Shape Queries for 3D Object Retrieval.
David Pickup,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
Paul L. Rosin,Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
Paul L. Rosin,ThOR - Three-dimensional Object Retrieval Library.
Paul L. Rosin,Architectural support for convolutional neural networks on modern CPUs.
Andrei Sharf,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Andrei Sharf,Quantitative Comparison of Hole Filling Methods for 3D Object Search.
Andrei Sharf,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Andrei Sharf,Markerless Motion Capture with Multi-view Structured Light.
Andrei Sharf,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
L. Sun,An Evaluation of Local Feature Encodings for Shape Retrieval.
L. Sun,Protein Shape Retrieval.
L. Sun,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
Xianfang Sun,Energy-Efficient Wireless Sensing for Level Set Estimations.
Xianfang Sun,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Xianfang Sun,Semantic Correspondence Across 3D Models for Example-based Modeling.
Xianfang Sun,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Xianfang Sun,Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.
Sibel Tari,Matching of Deformable Shapes with Topological Noise.
Sibel Tari,Directed Curvature Histograms for Robotic Grasping.
Sibel Tari,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Sibel Tari,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Sibel Tari,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Gözde B. Ünal,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Gözde B. Ünal,3D Volume Matching for Mesh Animation of Moving Actors.
Gözde B. Ünal,"A portable, automatic data qantizer for deep neural networks."
Gözde B. Ünal,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Gözde B. Ünal,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Richard C. Wilson 0001,Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.
Richard C. Wilson 0001,Cost effective speculation with the omnipredictor.
Richard C. Wilson 0001,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Gregory P. Meyer,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Gregory P. Meyer,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Minh N. Do,Partial Matching of Deformable Shapes.
Minh N. Do,Maximizing system utilization via parallelism management for co-located parallel applications.
Minh N. Do,Shape Retrieval and 3D Gestural Interaction.
Minh N. Do,Transactional pre-abort handlers in hardware transactional memory.
Minh N. Do,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Pedro B. Pascoal,The Canonically Posed 3D Objects Dataset.
Pedro B. Pascoal,Shape Retrieval and 3D Gestural Interaction.
Pedro B. Pascoal,Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.
Pedro B. Pascoal,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Alfredo Ferreira,Matching of Deformable Shapes with Topological Noise.
Pedro B. Pascoal,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Pedro F. Proença,3D Sketch-Based 3D Shape Retrieval.
Pedro F. Proença,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Pedro F. Proença,Cost-driven thread coarsening for GPU kernels.
Filipe Gaspar,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Miguel Sales Dias,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Miguel Sales Dias,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Miguel Sales Dias,Quantitative Comparison of Hole Filling Methods for 3D Object Search.
Luís Filipe Teixeira,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Alfredo Ferreira,Recognition of Geometric Patterns Over 3D Models.
Alfredo Ferreira,"A portable, automatic data qantizer for deep neural networks."
Alfredo Ferreira,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Alfredo Ferreira,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
Viktor Seib,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Viktor Seib,Shape Retrieval of Low-Cost RGB-D Captures.
Viktor Seib,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Norman Link,Computing in 3D.
Dietrich Paulus,3D Objects Exploration - Guidelines for Future Research.
Dietrich Paulus,Log(graph) - a near-optimal high-performance graph representation.
Dietrich Paulus,3D Object Retrieval with Multimodal Views.
Atsushi Tatsuma,An Edit Distance for Reeb Graphs.
Atsushi Tatsuma,3D Sketch-Based 3D Shape Retrieval.
Atsushi Tatsuma,Performing Image-like Convolution on Triangular Meshes.
Atsushi Tatsuma,"A portable, automatic data qantizer for deep neural networks."
Masaki Aono,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Masaki Aono,Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.
Masaki Aono,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Masaki Aono,Retrieval and Classification on Textured 3D Models.
David Pickup,Near-side prefetch throttling - adaptive prefetching for high-performance many-core processors.
David Pickup,Cost effective speculation with the omnipredictor.
David Pickup,"A portable, automatic data qantizer for deep neural networks."
David Pickup,Retrieval of Surfaces with Similar Relief Patterns.
David Pickup,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
Xianfang Sun,Blue noise Sampling of surfaces from stereoscopic images.
Paul L. Rosin,Stencil codes on a vector length agnostic architecture.
Ralph R. Martin,Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.
Ralph R. Martin,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Ralph R. Martin,An Edit Distance for Reeb Graphs.
Ralph R. Martin,Partial Matching of Deformable Shapes.
Zhi-Quan Cheng,Biased reference counting - minimizing atomic operations in garbage collection.
Zhi-Quan Cheng,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
Zhi-Quan Cheng,Retrieval of Gray Patterns Depicted on 3D Models.
Sipin Nie,An Evaluation of Local Feature Encodings for Shape Retrieval.
Sipin Nie,Shape Retrieval of Non-Rigid 3D Human Models.
Longcun Jin,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Longcun Jin,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Longcun Jin,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Longcun Jin,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Longcun Jin,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
Michalis A. Savelonas,Synergistic cache layout for reuse and compression.
Michalis A. Savelonas,Bag of Compact HKS-based Feature Descriptors.
Ioannis Pratikakis,2D Image-Based 3D Scene Retrieval.
Konstantinos Sfikas,RGB-D to CAD Retrieval with ObjectNN Dataset.
Gil Shamai,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Gil Shamai,Enhancing decentralized service discovery in open service-oriented multi-agent systems.
Gil Shamai,Scalability of Non-Rigid 3D Shape Retrieval.
Gil Shamai,Revealing parallel scans and reductions in recurrences through function reconstruction.
Michael Zibulevsky,Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.
Ron Kimmel,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Ron Kimmel,3D Volume Matching for Mesh Animation of Moving Actors.
Ron Kimmel,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Ron Kimmel,Retrieval of Human Subjects from Depth Sensor Data.
Ivan Sipiran,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Benjamin Bustos,Retrieval and Classification on Textured 3D Models.
Benjamin Bustos,3D Object Retrieval with Multimodal Views.
Benjamin Bustos,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
Tobias Schreck,Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.
Tobias Schreck,Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.
Tobias Schreck,Shape Retrieval and 3D Gestural Interaction.
Alexander M. Bronstein,Retrieval of Gray Patterns Depicted on 3D Models.
Alexander M. Bronstein,Matching of Deformable Shapes with Topological Noise.
S. Choi,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
S. Choi,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
S. Choi,ThOR - Three-dimensional Object Retrieval Library.
L. Lai,Retrieval of Human Subjects from Depth Sensor Data.
L. Lai,Protein Shape Retrieval.
L. Lai,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
L. Lai,Energy-Efficient Wireless Sensing for Level Set Estimations.
H. Li,Point Cloud Compression using Depth Maps.
H. Li,3D Object Retrieval with Parametric Templates.
H. Li,"A portable, automatic data qantizer for deep neural networks."
Roee Litman,3D Object Retrieval with Multimodal Views.
Roee Litman,Retrieval of Gray Patterns Depicted on 3D Models.
Roee Litman,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
L. Sun,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
L. Sun,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
L. Sun,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
Naoufel Werghi,ThOR - Three-dimensional Object Retrieval Library.
Naoufel Werghi,3D Object Retrieval with Multimodal Views.
Naoufel Werghi,EAR - ECC-aided refresh reduction through 2-D zero compression.
Naoufel Werghi,Blue noise Sampling of surfaces from stereoscopic images.
Claudio Tortorici,Bag of Compact HKS-based Feature Descriptors.
Claudio Tortorici,3D Object Retrieval with Multimodal Views.
Claudio Tortorici,Depth Estimation Algorithm for Color Coded Aperture Camera.
Stefano Berretti,An Evaluation of Local Feature Encodings for Shape Retrieval.
Stefano Berretti,Point Cloud Compression using Depth Maps.
Alberto Del Bimbo,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Alberto Del Bimbo,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Alberto Del Bimbo,Retrieval of Gray Patterns Depicted on 3D Models.
Alberto Del Bimbo,Automatic annotation of tasks in structured code.
Alberto Del Bimbo,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Zahraa Yasseen,Architectural support for convolutional neural networks on modern CPUs.
Zahraa Yasseen,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Anne Verroust-Blondet,3D Volume Matching for Mesh Animation of Moving Actors.
Ahmad H. Nasri,3D Mesh Unfolding via Semidefinite Programming.
Bo Li 0013,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Yijuan Lu,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Yijuan Lu,Retrieval of Objects Captured with Kinect One Camera.
Yijuan Lu,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Yijuan Lu,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Fuqing Duan,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Fuqing Duan,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Shuilong Dong,Shape Retrieval of Non-Rigid 3D Human Models.
Yachun Fan,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Yachun Fan,Non-rigid 3D Shape Retrieval.
Yachun Fan,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Yachun Fan,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Lu Qian,Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.
Lu Qian,RGB-D to CAD Retrieval with ObjectNN Dataset.
Lu Qian,LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.
Lu Qian,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Hamid Laga,Recognition of Geometric Patterns Over 3D Models.
Haisheng Li,Energy-Efficient Big Data Analytics in Datacenters.
Haisheng Li,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Yuxiang Li,Temporal Ensemble of Shape Functions.
Peng Liu,3D Volume Matching for Mesh Animation of Moving Actors.
Peng Liu,2D Image-Based 3D Scene Retrieval.
Peng Liu,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Peng Liu,Copper micro and nano particles mixture for 3D interconnections application.
Peng Liu,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Maks Ovsjanikov,Towards Recognizing of 3D Models Using A Single Image.
Maks Ovsjanikov,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Maks Ovsjanikov,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Hedi Tabia,Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.
Hedi Tabia,Towards an Observer-oriented Theory of Shape Comparison.
Hedi Tabia,Matching of Deformable Shapes with Topological Noise.
Yuxiang Ye,Retrieval of Surfaces with Similar Relief Patterns.
Yuxiang Ye,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Yuxiang Ye,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Yuxiang Ye,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
Huanpu Yin,Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.
Huanpu Yin,Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.
Huanpu Yin,3D Object Retrieval with Parametric Templates.
Huanpu Yin,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Ziyu Xue,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Ziyu Xue,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Ziyu Xue,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Ziyu Xue,Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.
Ulrich Bauer,Semantic Correspondence Across 3D Models for Example-based Modeling.
Barbara Di Fabio,3D Sketch-Based 3D Shape Retrieval.
Barbara Di Fabio,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Barbara Di Fabio,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Barbara Di Fabio,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Barbara Di Fabio,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
Claudia Landi,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Claudia Landi,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Silvia Biasotti,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Silvia Biasotti,Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.
Silvia Biasotti,Range Scans based 3D Shape Retrieval.
Silvia Biasotti,Retrieval of Gray Patterns Depicted on 3D Models.
Bianca Falcidieno,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Bianca Falcidieno,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Bianca Falcidieno,2D Scene Sketch-Based 3D Scene Retrieval.
Daniela Giorgi,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Michela Spagnuolo,Matching of Deformable Shapes with Topological Noise.
Luca Cosmo,Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.
Luca Cosmo,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Emanuele Rodolà,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Emanuele Rodolà,Energy-Efficient Wireless Sensing for Level Set Estimations.
Emanuele Rodolà,Range Scans based 3D Shape Retrieval.
Michael M. Bronstein,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
Andrea Torsello,Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.
Andrea Torsello,EAR - ECC-aided refresh reduction through 2-D zero compression.
Andrea Torsello,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Daniel Cremers,3D Mesh Unfolding via Semidefinite Programming.
Daniel Cremers,Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.
Daniel Cremers,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Daniel Cremers,Morphological Analysis of 3D Faces for Weight Gain Assessment.
Daniel Cremers,Non-rigid 3D Shape Retrieval.
Yusuf Sahillioglu,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
Cong Feng,3D system integration research at IMEC.
Cong Feng,Point-Cloud Shape Retrieval of Non-Rigid Toys.
Cong Feng,Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.
Cong Feng,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Andrei C. Jalba,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Andrei C. Jalba,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Andrei C. Jalba,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Andrei C. Jalba,Retrieval of Human Subjects from Depth Sensor Data.
Andrei C. Jalba,3D shape template generation from RGB-D images capturing a moving and deforming object.
Alexandru C. Telea,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Alexandru C. Telea,Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.
Alexandru C. Telea,Depth Estimation Algorithm for Color Coded Aperture Camera.
Alexandru C. Telea,Deformable Shape Retrieval with Missing Parts.
Francisco Fernandes,Extended Large Scale Sketch-Based 3D Shape Retrieval.
Francisco Fernandes,Partial Matching of Deformable Shapes.
Francisco Fernandes,Partial Shape Queries for 3D Object Retrieval.
Francisco Fernandes,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Francisco Fernandes,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Alfredo Ferreira,Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.
Alfredo Ferreira,Automatic Location of Landmarks used in Manual Anthropometry.
Patrizio Frosini,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Patrizio Frosini,Graphphi - efficient parallel graph processing on emerging throughput-oriented architectures.
Patrizio Frosini,Im2Fit - Fast 3D Model Fitting and Anthropometrics using Single Consumer Depth Camera and Synthetic Data.
Patrizio Frosini,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Patrizio Frosini,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Yue Gao,Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.
Weizhi Nie,An Evaluation of Local Feature Encodings for Shape Retrieval.
Weizhi Nie,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Weizhi Nie,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Weizhi Nie,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Anan Liu,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Yuting Su,Point Cloud Compression using Depth Maps.
Yuting Su,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Yuting Su,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Qionghai Dai,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Qionghai Dai,Towards an Observer-oriented Theory of Shape Comparison.
Qionghai Dai,Guard-ring monitoring system for inspecting defects in TSV-based data buses.
Qionghai Dai,Randomized Sub-Volume Partitioning for Part-Based 3D Model Retrieval.
Qionghai Dai,3D integration - Applications and market trends.
Le An,Mobile version of Digital Image Correlation for deformation measurements of engineering objects.
Le An,Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.
Le An,"A portable, automatic data qantizer for deep neural networks."
Le An,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Le An,Architectural support for convolutional neural networks on modern CPUs.
Fuhai Chen,Depth Estimation Algorithm for Color Coded Aperture Camera.
Fuhai Chen,Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.
Fuhai Chen,An Evaluation of Local Feature Encodings for Shape Retrieval.
Liujuan Cao,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
Liujuan Cao,Computing in 3D.
Liujuan Cao,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Liujuan Cao,Shape Retrieval of Non-Rigid 3D Human Models.
Shuilong Dong,Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.
Shuilong Dong,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Yu De,Revealing parallel scans and reductions in recurrences through function reconstruction.
Yu De,Markerless Motion Capture with Multi-view Structured Light.
Zan Gao,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Zan Gao,3D shape template generation from RGB-D images capturing a moving and deforming object.
Jiayun Hao,Structural internal deterioration detection with motion vector field image analysis using monocular camera.
Jiayun Hao,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Rongrong Ji,Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.
Haisheng Li,Semantic Correspondence Across 3D Models for Example-based Modeling.
Mingxia Liu,Stencil codes on a vector length agnostic architecture.
Mingxia Liu,Computing in 3D.
Mingxia Liu,RETRIEVAL 3D - An On-line Content-Based Retrieval Performance Evaluation Tool.
Lili Pan,Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.
Lili Pan,Canonical Forms for Non-Rigid 3D Shape Retrieval.
Lili Pan,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Lili Pan,Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.
Yu Qiu,Recognition of Geometric Patterns Over 3D Models.
Yu Qiu,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Yu Qiu,Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.
Yu Qiu,Range Scans based 3D Shape Retrieval.
Liwei Wei,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Liwei Wei,Shadow Detection on 3D Point Cloud.
Liwei Wei,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Liwei Wei,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Zhao Wang,3D Object Retrieval with Multimodal Views.
Zhao Wang,The Canonically Posed 3D Objects Dataset.
Zhao Wang,Shadow Detection on 3D Point Cloud.
Zhao Wang,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Hongjiang Wei,RGB-D Object-to-CAD Retrieval.
Hongjiang Wei,Automatic annotation of tasks in structured code.
Hongjiang Wei,Large Scale Comprehensive 3D Shape Retrieval.
Yuyao Zhang,A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.
Yuyao Zhang,Accelerating the Computation of Canonical Forms for 3D Nonrigid Objects using Multidimensional Scaling.
Yuyao Zhang,EAR - ECC-aided refresh reduction through 2-D zero compression.
Yuyao Zhang,3D integration - Applications and market trends.
Jun Zhang 0018,Transactional pre-abort handlers in hardware transactional memory.
Yan Zhang 0002,Non-rigid 3D Shape Retrieval.
Yan Zhang 0002,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Yan Zhang 0002,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Yan Zhang 0002,Retrieval of Surfaces with Similar Relief Patterns.
Yan Zhang 0002,GMOD - a dynamic GPU memory overflow detector.
Yali Zheng,Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.
Yali Zheng,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Yali Zheng,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Andrea Giachetti 0001,"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC."
Andrea Giachetti 0001,Depth Assisted Composition of Synthetic and Real 3D Scenes.
