title,author,roleofAuthor
Scalability of Non-Rigid 3D Shape Retrieval.,L. Lai,normal author
Scalability of Non-Rigid 3D Shape Retrieval.,H. Li,normal author
Scalability of Non-Rigid 3D Shape Retrieval.,Roee Litman,normal author
Scalability of Non-Rigid 3D Shape Retrieval.,L. Sun,normal author
Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.,Naoufel Werghi,corresponding author
Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.,Claudio Tortorici,normal author
Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.,Stefano Berretti,normal author
Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.,Alberto Del Bimbo,normal author
Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.,Zahraa Yasseen,corresponding author
Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.,Anne Verroust-Blondet,normal author
Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.,Ahmad H. Nasri,normal author
3D Sketch-Based 3D Shape Retrieval.,Bo Li 0013,corresponding author
3D Sketch-Based 3D Shape Retrieval.,Yijuan Lu,normal author
3D Sketch-Based 3D Shape Retrieval.,Fuqing Duan,normal author
3D Sketch-Based 3D Shape Retrieval.,Shuilong Dong,normal author
3D Sketch-Based 3D Shape Retrieval.,Yachun Fan,normal author
3D Sketch-Based 3D Shape Retrieval.,Lu Qian,normal author
3D Sketch-Based 3D Shape Retrieval.,Hamid Laga,normal author
3D Sketch-Based 3D Shape Retrieval.,Haisheng Li,normal author
3D Sketch-Based 3D Shape Retrieval.,Yuxiang Li,normal author
3D Sketch-Based 3D Shape Retrieval.,Peng Liu,normal author
3D Sketch-Based 3D Shape Retrieval.,Maks Ovsjanikov,normal author
3D Sketch-Based 3D Shape Retrieval.,Hedi Tabia,normal author
3D Sketch-Based 3D Shape Retrieval.,Yuxiang Ye,normal author
3D Sketch-Based 3D Shape Retrieval.,Huanpu Yin,normal author
3D Sketch-Based 3D Shape Retrieval.,Ziyu Xue,normal author
An Edit Distance for Reeb Graphs.,Ulrich Bauer,corresponding author
An Edit Distance for Reeb Graphs.,Barbara Di Fabio,normal author
An Edit Distance for Reeb Graphs.,Claudia Landi,normal author
3D Objects Exploration - Guidelines for Future Research.,Silvia Biasotti,corresponding author
3D Objects Exploration - Guidelines for Future Research.,Bianca Falcidieno,normal author
3D Objects Exploration - Guidelines for Future Research.,Daniela Giorgi,normal author
3D Objects Exploration - Guidelines for Future Research.,Michela Spagnuolo,normal author
Partial Matching of Deformable Shapes.,Luca Cosmo,corresponding author
Partial Matching of Deformable Shapes.,Emanuele Rodolà,normal author
Partial Matching of Deformable Shapes.,Michael M. Bronstein,normal author
Partial Matching of Deformable Shapes.,Andrea Torsello,normal author
Partial Matching of Deformable Shapes.,Daniel Cremers,normal author
Partial Matching of Deformable Shapes.,Yusuf Sahillioglu,normal author
A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.,Cong Feng,corresponding author
A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.,Andrei C. Jalba,normal author
A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.,Alexandru C. Telea,normal author
An Experimental Shape Matching Approach for Protein Docking.,Francisco Fernandes,corresponding author
An Experimental Shape Matching Approach for Protein Docking.,Alfredo Ferreira,normal author
Towards an Observer-oriented Theory of Shape Comparison.,Patrizio Frosini,corresponding author
3D Object Retrieval with Multimodal Views.,Yue Gao,corresponding author
3D Object Retrieval with Multimodal Views.,Weizhi Nie,normal author
3D Object Retrieval with Multimodal Views.,Anan Liu,normal author
3D Object Retrieval with Multimodal Views.,Yuting Su,normal author
3D Object Retrieval with Multimodal Views.,Qionghai Dai,normal author
3D Object Retrieval with Multimodal Views.,Le An,normal author
3D Object Retrieval with Multimodal Views.,Fuhai Chen,normal author
3D Object Retrieval with Multimodal Views.,Liujuan Cao,normal author
3D Object Retrieval with Multimodal Views.,Shuilong Dong,normal author
3D Object Retrieval with Multimodal Views.,Yu De,normal author
3D Object Retrieval with Multimodal Views.,Zan Gao,normal author
3D Object Retrieval with Multimodal Views.,Jiayun Hao,normal author
3D Object Retrieval with Multimodal Views.,Rongrong Ji,normal author
3D Object Retrieval with Multimodal Views.,Haisheng Li,normal author
3D Object Retrieval with Multimodal Views.,Mingxia Liu,normal author
3D Object Retrieval with Multimodal Views.,Lili Pan,normal author
3D Object Retrieval with Multimodal Views.,Yu Qiu,normal author
3D Object Retrieval with Multimodal Views.,Liwei Wei,normal author
3D Object Retrieval with Multimodal Views.,Zhao Wang,normal author
3D Object Retrieval with Multimodal Views.,Hongjiang Wei,normal author
3D Object Retrieval with Multimodal Views.,Yuyao Zhang,normal author
3D Object Retrieval with Multimodal Views.,Jun Zhang 0018,normal author
3D Object Retrieval with Multimodal Views.,Yan Zhang 0002,normal author
3D Object Retrieval with Multimodal Views.,Yali Zheng,normal author
Shape Retrieval and 3D Gestural Interaction.,Andrea Giachetti 0001,corresponding author
Shape Retrieval and 3D Gestural Interaction.,Fabio Marco Caputo,normal author
Shape Retrieval and 3D Gestural Interaction.,Alessandro Carcangiu,normal author
Shape Retrieval and 3D Gestural Interaction.,Riccardo Scateni,normal author
Shape Retrieval and 3D Gestural Interaction.,Lucio Davide Spano,normal author
Retrieval of Human Subjects from Depth Sensor Data.,Andrea Giachetti 0001,corresponding author
Retrieval of Human Subjects from Depth Sensor Data.,Francesco Fornasa,normal author
Retrieval of Human Subjects from Depth Sensor Data.,Federico Parezzan,normal author
Retrieval of Human Subjects from Depth Sensor Data.,Alessandro Saletti,normal author
Retrieval of Human Subjects from Depth Sensor Data.,Leonardo Zambaldo,normal author
Retrieval of Human Subjects from Depth Sensor Data.,Luisa Zanini,normal author
Retrieval of Human Subjects from Depth Sensor Data.,Felix Achilles,normal author
Retrieval of Human Subjects from Depth Sensor Data.,Alexandru Eugen Ichim,normal author
Retrieval of Human Subjects from Depth Sensor Data.,Federico Tombari,normal author
Retrieval of Human Subjects from Depth Sensor Data.,Nassir Navab,normal author
Retrieval of Human Subjects from Depth Sensor Data.,Santiago Velasco-Forero,normal author
Matching of Deformable Shapes with Topological Noise.,Zorah Lähner,corresponding author
Matching of Deformable Shapes with Topological Noise.,Emanuele Rodolà,normal author
Matching of Deformable Shapes with Topological Noise.,Michael M. Bronstein,normal author
Matching of Deformable Shapes with Topological Noise.,Daniel Cremers,normal author
Matching of Deformable Shapes with Topological Noise.,Oliver Burghard,normal author
Matching of Deformable Shapes with Topological Noise.,Luca Cosmo,normal author
Matching of Deformable Shapes with Topological Noise.,Alexander Dieckmann,normal author
Matching of Deformable Shapes with Topological Noise.,Reinhard Klein,normal author
Matching of Deformable Shapes with Topological Noise.,Yusuf Sahillioglu,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Pedro B. Pascoal,corresponding author
Shape Retrieval of Low-Cost RGB-D Captures.,Pedro F. Proença,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Filipe Gaspar,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Miguel Sales Dias,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Alfredo Ferreira,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Atsushi Tatsuma,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Masaki Aono,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,K. Berker Logoglu,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Sinan Kalkan,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Alptekin Temizel,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Bo Li 0013,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Henry Johan,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Yijuan Lu,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Viktor Seib,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Norman Link,normal author
Shape Retrieval of Low-Cost RGB-D Captures.,Dietrich Paulus,normal author
Partial Shape Queries for 3D Object Retrieval.,Ioannis Pratikakis,corresponding author
Partial Shape Queries for 3D Object Retrieval.,Michalis A. Savelonas,normal author
Partial Shape Queries for 3D Object Retrieval.,Fotis Arnaoutoglou,normal author
Partial Shape Queries for 3D Object Retrieval.,George Ioannakis,normal author
Partial Shape Queries for 3D Object Retrieval.,Anestis Koutsoudis,normal author
Partial Shape Queries for 3D Object Retrieval.,Theoharis Theoharis,normal author
Partial Shape Queries for 3D Object Retrieval.,Minh-Triet Tran,normal author
Partial Shape Queries for 3D Object Retrieval.,Vinh-Tiep Nguyen,normal author
Partial Shape Queries for 3D Object Retrieval.,Viet-Khoi Pham,normal author
Partial Shape Queries for 3D Object Retrieval.,Hai-Dang Nguyen,normal author
Partial Shape Queries for 3D Object Retrieval.,Hoang-An Le,normal author
Partial Shape Queries for 3D Object Retrieval.,Ba-Huu Tran,normal author
Partial Shape Queries for 3D Object Retrieval.,Huu-Quan To,normal author
Partial Shape Queries for 3D Object Retrieval.,Minh-Bao Truong,normal author
Partial Shape Queries for 3D Object Retrieval.,Thuyen V. Phan,normal author
Partial Shape Queries for 3D Object Retrieval.,Minh-Duc Nguyen,normal author
Partial Shape Queries for 3D Object Retrieval.,Thanh-An Than,normal author
Partial Shape Queries for 3D Object Retrieval.,Khoi-Nguyen C. Mac,normal author
Partial Shape Queries for 3D Object Retrieval.,Minh N. Do,normal author
Partial Shape Queries for 3D Object Retrieval.,Anh Duc Duong,normal author
Partial Shape Queries for 3D Object Retrieval.,Takahiko Furuya,normal author
Partial Shape Queries for 3D Object Retrieval.,Ryutarou Ohbuchi,normal author
Partial Shape Queries for 3D Object Retrieval.,Masaki Aono,normal author
Partial Shape Queries for 3D Object Retrieval.,Shoki Tashiro,normal author
Partial Shape Queries for 3D Object Retrieval.,David Pickup,normal author
Partial Shape Queries for 3D Object Retrieval.,Xianfang Sun,normal author
Partial Shape Queries for 3D Object Retrieval.,Paul L. Rosin,normal author
Partial Shape Queries for 3D Object Retrieval.,Ralph R. Martin,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Manolis Savva,corresponding author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Fisher Yu,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Hao Su,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Masaki Aono,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Baoquan Chen,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Daniel Cohen-Or,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Weihong Deng,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Hang Su,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Song Bai,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Xiang Bai,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Noa Fish,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Jiajie Han,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Evangelos Kalogerakis,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Erik G. Learned-Miller,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Yangyan Li,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Minghui Liao,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Subhransu Maji,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Atsushi Tatsuma,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Yida Wang,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Nanhai Zhang,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Zhichao Zhou,normal author
An Evaluation of Local Feature Encodings for Shape Retrieval.,Flora Ponjou Tasse,corresponding author
An Evaluation of Local Feature Encodings for Shape Retrieval.,Jirí Kosinka,normal author
An Evaluation of Local Feature Encodings for Shape Retrieval.,Neil A. Dodgson,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Silvia Biasotti,corresponding author
Retrieval of Surfaces with Similar Relief Patterns.,E. Moscoso Thompson,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Masaki Aono,normal author
Retrieval of Surfaces with Similar Relief Patterns.,A. Ben Hamza,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Benjamin Bustos,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Shuilong Dong,normal author
Retrieval of Surfaces with Similar Relief Patterns.,B. Du,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Amin Fehri,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Haisheng Li,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Frederico A. Limberger,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Majid Masoumi,normal author
Retrieval of Surfaces with Similar Relief Patterns.,M. Rezaei,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Ivan Sipiran,normal author
Retrieval of Surfaces with Similar Relief Patterns.,L. Sun,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Atsushi Tatsuma,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Santiago Velasco-Forero,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Richard C. Wilson 0001,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Y. Wu,normal author
Retrieval of Surfaces with Similar Relief Patterns.,J. Zhang,normal author
Retrieval of Surfaces with Similar Relief Patterns.,T. Zhao,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Francesco Fornasa,normal author
Retrieval of Surfaces with Similar Relief Patterns.,Andrea Giachetti 0001,normal author
Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.,Alexandre Boulch,corresponding author
Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.,Bertrand Le Saux,normal author
Unstructured Point Cloud Semantic Labeling Using Deep Segmentation Networks.,Nicolas Audebert,normal author
Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.,Daniela Craciun,corresponding author
Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.,Guillaume Levieux,normal author
Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.,Matthieu Montes,normal author
A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.,Sylvain Haas,corresponding author
A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.,Atilla Baskurt,normal author
A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.,Florent Dupont,normal author
A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.,Florence Denis,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Binh-Son Hua,corresponding author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Quang-Trung Truong,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Minh-Khoi Tran,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Quang-Hieu Pham,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Asako Kanezaki,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Tang Lee,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,HungYueh Chiang,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Winston Hsu,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Bo Li 0013,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Yijuan Lu,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Henry Johan,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Shoki Tashiro,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Masaki Aono,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Minh-Triet Tran,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Viet-Khoi Pham,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Hai-Dang Nguyen,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Vinh-Tiep Nguyen,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Quang-Thang Tran,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Thuyen V. Phan,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Bao Truong,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Minh N. Do,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Anh Duc Duong,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Lap-Fai Yu,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Duc Thanh Nguyen,normal author
RGB-D to CAD Retrieval with ObjectNN Dataset.,Sai-Kit Yeung,normal author
Semantic Correspondence Across 3D Models for Example-based Modeling.,Vincent Léon,corresponding author
Semantic Correspondence Across 3D Models for Example-based Modeling.,Vincent Itier,normal author
Semantic Correspondence Across 3D Models for Example-based Modeling.,Nicolas Bonneel,normal author
Semantic Correspondence Across 3D Models for Example-based Modeling.,Guillaume Lavoué,normal author
Semantic Correspondence Across 3D Models for Example-based Modeling.,Jean-Philippe Vandeborre,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Frederico A. Limberger,corresponding author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Richard C. Wilson 0001,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Masaki Aono,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Nicolas Audebert,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Alexandre Boulch,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Benjamín Bustos,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Andrea Giachetti 0001,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Afzal Godil,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Bertrand Le Saux,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Bo Li 0013,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Yijuan Lu,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Hai-Dang Nguyen,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,V.-T. Nguyen,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Viet-Khoi Pham,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Ivan Sipiran,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Atsushi Tatsuma,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Minh-Triet Tran,normal author
Point-Cloud Shape Retrieval of Non-Rigid Toys.,Santiago Velasco-Forero,normal author
3D Mesh Unfolding via Semidefinite Programming.,Juncheng Liu,corresponding author
3D Mesh Unfolding via Semidefinite Programming.,Zhouhui Lian,normal author
3D Mesh Unfolding via Semidefinite Programming.,Jianguo Xiao,normal author
GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.,Carlos M. Mateo,corresponding author
GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.,Pablo Gil,normal author
GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.,Fernando Torres Medina,normal author
Towards Recognizing of 3D Models Using A Single Image.,Hatem A. Rashwan,corresponding author
Towards Recognizing of 3D Models Using A Single Image.,Sylvie Chambon,normal author
Towards Recognizing of 3D Models Using A Single Image.,Géraldine Morin,normal author
Towards Recognizing of 3D Models Using A Single Image.,Pierre Gurdjos,normal author
Towards Recognizing of 3D Models Using A Single Image.,Vincent Charvillat,normal author
Deformable Shape Retrieval with Missing Parts.,Emanuele Rodolà,corresponding author
Deformable Shape Retrieval with Missing Parts.,Luca Cosmo,normal author
Deformable Shape Retrieval with Missing Parts.,Or Litany,normal author
Deformable Shape Retrieval with Missing Parts.,Michael M. Bronstein,normal author
Deformable Shape Retrieval with Missing Parts.,Alexander M. Bronstein,normal author
Deformable Shape Retrieval with Missing Parts.,Nicolas Audebert,normal author
Deformable Shape Retrieval with Missing Parts.,A. Ben Hamza,normal author
Deformable Shape Retrieval with Missing Parts.,Alexandre Boulch,normal author
Deformable Shape Retrieval with Missing Parts.,Umberto Castellani,normal author
Deformable Shape Retrieval with Missing Parts.,Minh N. Do,normal author
Deformable Shape Retrieval with Missing Parts.,Duc Anh Duong,normal author
Deformable Shape Retrieval with Missing Parts.,Takahiko Furuya,normal author
Deformable Shape Retrieval with Missing Parts.,Andrea Gasparetto,normal author
Deformable Shape Retrieval with Missing Parts.,Y. Hong,normal author
Deformable Shape Retrieval with Missing Parts.,J. Kim,normal author
Deformable Shape Retrieval with Missing Parts.,Bertrand Le Saux,normal author
Deformable Shape Retrieval with Missing Parts.,Roee Litman,normal author
Deformable Shape Retrieval with Missing Parts.,Majid Masoumi,normal author
Deformable Shape Retrieval with Missing Parts.,Giorgia Minello,normal author
Deformable Shape Retrieval with Missing Parts.,Hai-Dang Nguyen,normal author
Deformable Shape Retrieval with Missing Parts.,V.-T. Nguyen,normal author
Deformable Shape Retrieval with Missing Parts.,Ryutarou Ohbuchi,normal author
Deformable Shape Retrieval with Missing Parts.,Viet-Khoi Pham,normal author
Deformable Shape Retrieval with Missing Parts.,Thuyen V. Phan,normal author
Deformable Shape Retrieval with Missing Parts.,M. Rezaei,normal author
Deformable Shape Retrieval with Missing Parts.,Andrea Torsello,normal author
Deformable Shape Retrieval with Missing Parts.,Minh-Triet Tran,normal author
Deformable Shape Retrieval with Missing Parts.,Q. T. Tran,normal author
Deformable Shape Retrieval with Missing Parts.,Bao Truong,normal author
Deformable Shape Retrieval with Missing Parts.,L. Wan,normal author
Deformable Shape Retrieval with Missing Parts.,Changqing Zou,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Manolis Savva,corresponding author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Fisher Yu,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Hao Su,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Asako Kanezaki,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Takahiko Furuya,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Ryutarou Ohbuchi,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Zhichao Zhou,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Rui Yu,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Song Bai,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Xiang Bai,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Masaki Aono,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Atsushi Tatsuma,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Spyridon Thermos,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Apostolos Axenopoulos,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Georgios Th. Papadopoulos,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Petros Daras,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Xiao Deng,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Zhouhui Lian,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Bo Li 0013,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Henry Johan,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Yijuan Lu,normal author
Large-Scale 3D Shape Retrieval from ShapeNet Core55.,Sanjeev Mk,normal author
Directed Curvature Histograms for Robotic Grasping.,Rodrigo Schulz,corresponding author
Directed Curvature Histograms for Robotic Grasping.,Pablo Guerrero,normal author
Directed Curvature Histograms for Robotic Grasping.,Benjamin Bustos,normal author
Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.,Konstantinos Sfikas,corresponding author
Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.,Theoharis Theoharis,normal author
Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.,Ioannis Pratikakis,normal author
3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.,Quentin De Smedt,corresponding author
3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.,Hazem Wannous,normal author
3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.,Jean-Philippe Vandeborre,normal author
3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.,Joris Guerry,normal author
3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.,Bertrand Le Saux,normal author
3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.,David Filliat,normal author
Protein Shape Retrieval.,Na Song,corresponding author
Protein Shape Retrieval.,Daniela Craciun,normal author
Protein Shape Retrieval.,Charles Christoffer,normal author
Protein Shape Retrieval.,Xusi Han,normal author
Protein Shape Retrieval.,Daisuke Kihara,normal author
Protein Shape Retrieval.,Guillaume Levieux,normal author
Protein Shape Retrieval.,Matthieu Montes,normal author
Protein Shape Retrieval.,Hong Qin,normal author
Protein Shape Retrieval.,Pranjal Sahu,normal author
Protein Shape Retrieval.,Genki Terashi,normal author
Protein Shape Retrieval.,Haiguang Liu,normal author
Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.,Xueqing Zhao,corresponding author
Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.,Robert Gregor,normal author
Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.,Pavlos Mavridis,normal author
Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.,Tobias Schreck,normal author
LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.,Shuaifeng Zhi,corresponding author
LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.,Yongxiang Liu,normal author
LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.,Xiang Li,normal author
LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.,Yulan Guo,normal author
2D Image-Based 3D Scene Retrieval.,Hameed Abdul-Rashid,corresponding author
2D Image-Based 3D Scene Retrieval.,Juefei Yuan,normal author
2D Image-Based 3D Scene Retrieval.,Bo Li,normal author
2D Image-Based 3D Scene Retrieval.,Yijuan Lu,normal author
2D Image-Based 3D Scene Retrieval.,Song Bai,normal author
2D Image-Based 3D Scene Retrieval.,Xiang Bai,normal author
2D Image-Based 3D Scene Retrieval.,Ngoc-Minh Bui,normal author
2D Image-Based 3D Scene Retrieval.,Minh N. Do,normal author
2D Image-Based 3D Scene Retrieval.,Trong-Le Do,normal author
2D Image-Based 3D Scene Retrieval.,Anh Duc Duong,normal author
2D Image-Based 3D Scene Retrieval.,Xinwei He,normal author
2D Image-Based 3D Scene Retrieval.,Tu-Khiem Le,normal author
2D Image-Based 3D Scene Retrieval.,Wenhui Li,normal author
2D Image-Based 3D Scene Retrieval.,Anan Liu,normal author
2D Image-Based 3D Scene Retrieval.,Xiaolong Liu,normal author
2D Image-Based 3D Scene Retrieval.,Khac-Tuan Nguyen,normal author
2D Image-Based 3D Scene Retrieval.,Vinh-Tiep Nguyen,normal author
2D Image-Based 3D Scene Retrieval.,Weizhi Nie,normal author
2D Image-Based 3D Scene Retrieval.,Van-Tu Ninh,normal author
2D Image-Based 3D Scene Retrieval.,Yuting Su,normal author
2D Image-Based 3D Scene Retrieval.,Vinh Ton-That,normal author
2D Image-Based 3D Scene Retrieval.,Minh-Triet Tran,normal author
2D Image-Based 3D Scene Retrieval.,Shu Xiang,normal author
2D Image-Based 3D Scene Retrieval.,Heyu Zhou,normal author
2D Image-Based 3D Scene Retrieval.,Yang Zhou,normal author
2D Image-Based 3D Scene Retrieval.,Zhichao Zhou,normal author
