title,keyword
3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.,data storage
3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.,security
3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.,biyology
Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.,big data
Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.,indexing
Performance extraction and suitability analysis of multi- and many-core architectures for next generation sequencing secondary analysis.,data storage
Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.,literature
Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.,data processing
Hybrid optimization/heuristic instruction scheduling for programmable accelerator codesign.,Hardware
"A portable, automatic data qantizer for deep neural networks.",data storage
Synergistic cache layout for reuse and compression.,biyology
Transactional pre-abort handlers in hardware transactional memory.,TCP/IP
Transactional pre-abort handlers in hardware transactional memory.,Software
Transactional pre-abort handlers in hardware transactional memory.,security
Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.,security
Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.,data processing
Graphphi - efficient parallel graph processing on emerging throughput-oriented architectures.,data querying
Cost effective speculation with the omnipredictor.,biyology
Cost effective speculation with the omnipredictor.,data processing
Cost effective speculation with the omnipredictor.,security
Cost effective speculation with the omnipredictor.,security policy
Cost effective speculation with the omnipredictor.,data modeling
VW-SLP - auto-vectorization with adaptive vector width.,Software
MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.,indexing
Compiler assisted coalescing.,data processing
Compiler assisted coalescing.,Software
Compiler assisted coalescing.,data modeling
Compiler assisted coalescing.,Hardware
Automatic annotation of tasks in structured code.,Hardware
Automatic annotation of tasks in structured code.,biyology
Automatic annotation of tasks in structured code.,security
Automatic annotation of tasks in structured code.,big data
Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.,literature
E-PUR - an energy-efficient processing unit for recurrent neural networks.,biyology
E-PUR - an energy-efficient processing unit for recurrent neural networks.,data storage
E-PUR - an energy-efficient processing unit for recurrent neural networks.,modeling
Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.,TCP/IP
Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.,biyology
Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.,security
Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.,Software
Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.,Hardware
Energy-Efficient Big Data Analytics in Datacenters.,security
Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.,TCP/IP
Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.,data querying
Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.,modeling
Energy-Efficient Context-Aware Matching for Resource Allocation in Ultra-Dense Small Cells.,data modeling
Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.,Software
Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.,TCP/IP
Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.,indexing
Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.,literature
Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.,big data
Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.,literature
Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.,data storage
Energy-Efficient Hybrid Precoding Design for Millimeter-Wave Massive MIMO Systems Via Coordinate Update Algorithms.,big data
Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.,Hardware
Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.,data modeling
Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.,Software
Energy-Efficient Joint Power Allocation in Uplink Massive MIMO Cognitive Radio Networks With Imperfect CSI.,TCP/IP
Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.,Hardware
Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.,data processing
Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.,Hardware
Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.,biyology
Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.,data processing
Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.,data querying
Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.,biyology
Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.,security
Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.,literature
Energy-Efficient Wireless Sensing for Level Set Estimations.,security policy
Energy-Efficient Wireless Sensing for Level Set Estimations.,Hardware
Energy-Efficient Wireless Sensing for Level Set Estimations.,data storage
Energy-Efficient Wireless Sensing for Level Set Estimations.,data querying
Energy-Efficient Wireless Sensing for Level Set Estimations.,biyology
Engagement Evaluation for Autism Intervention by Robots Based on Dynamic Bayesian Network and Expert Elicitation.,literature
Engineering commitment-based business protocols with the 2CL methodology.,security
Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.,Hardware
Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.,data processing
Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.,data storage
Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.,literature
Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.,TCP/IP
"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network.",biyology
"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network.",data querying
"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network.",security
"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network.",literature
Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.,security
Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.,big data
Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.,Software
Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.,data modeling
Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.,security
Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.,modeling
Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.,Hardware
Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.,data querying
Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.,literature
Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.,literature
Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.,modeling
Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.,data processing
Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.,security policy
Enhancing comparison shopping agents through ordering and gradual information disclosure.,TCP/IP
Enhancing comparison shopping agents through ordering and gradual information disclosure.,Hardware
Enhancing comparison shopping agents through ordering and gradual information disclosure.,indexing
Enhancing comparison shopping agents through ordering and gradual information disclosure.,modeling
Enhancing comparison shopping agents through ordering and gradual information disclosure.,security policy
Enhancing decentralized service discovery in open service-oriented multi-agent systems.,biyology
Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.,biyology
Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.,data querying
Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.,data processing
